text,label
Go to the hospital.,0
What did you eat?,0
Just like that? For what?,0
How does it hurt?,0
Stop eating.,0
Did you take your medicine?,1
It's alright? Does it hurt a lot?,1
There are two sad people.,0
Grief is split in half.,1
Did you get insurance?,0
What is the defect rate?,0
Did you hit it from behind?,0
Pretend to be sick as much as possible.,0
Did you grab your neck and get it down?,0
Look at the other person's status.,0
It's alright? I must have been very surprised.,1
Didn't you get hurt much?,1
For what? It's a burden.,0
What do you like about me?,0
I'm impressed.,1
But why are you friends with me?,0
What to say?,0
Do you have to get along well with your friends?,0
This can be happen.,0
You don’t want to be friends with me anymore?,1
What test did you take?,0
What score was it?,0
How much did you fall by?,0
What should I do? I’m upset.,1
I'm sure we'll be able to stick together next time.,1
why? Did I look difficult?,0
"Thank you, I'm touched.",1
thank you for thinking of me.,1
Did you apply medicine?,0
How did you get hurt?,0
Why are you hurt?,0
Have you been to the hospital?,0
It must hurt so much.,1
You have to be careful.,0
How much does it cost? You can buy it again.,0
Where do you think you lost it?,0
I'm upset. Let's find out together.,1
"It seems like you really care, but I'm upset.",1
why? Was it hard?,1
Did you like the boss?,1
Have you found any other work?,0
Can I receive severance pay?,0
What kind of chicken did you eat?,0
Did you eat it alone?,0
Why did you feel good?,1
What made you feel bad?,1
it's fine now?,1
Isn’t being in a bad mood an excuse and I just wanted to eat chicken?,0
"Things like that happen, too.",0
Not everyone can like me.,0
Why do you hate me?,0
Did I do something wrong?,1
Why do you hate me?,1
Can't I wear a mask?,0
"Still, wouldn’t the exhaust smell be better than the smell of paint?",0
"Then, would you like to go to a cafe with the door open?",0
Why did I think of myself when I looked at the moon?,0
Have I gained weight?,0
The moon looks really pretty today.,1
"Oh, really? When I see the moon, I think of you too.",1
I feel like I want to share that moment with you.,1
"After hearing that, I also thought about the aesthetics and astrophysical characteristics of the moon. The moon is a really interesting celestial body.",0
Have you been to the hospital?,0
Did you take the medicine?,0
Did you get hit from behind?,0
Did you call the insurance company?,0
Where is this? Why is it good?,0
"I'm sorry, what can I do?",0
When is the next test?,0
How much was the test fee?,0
Where did this happen?,0
"Congratulations, how much did you prepare?",0
Where do you think you lost it?,0
Can you buy it again?,0
why? Didn't it fit well?,0
What chicken? It must have been delicious.,0
Why do you hate me? It can't be helped.,0
Why are you sharing?,0
Uh.. okay.,0
Just stick it on the wall.,0
It hurts here.,0
Have you searched everything?,0
do it yourself..,0
What did you eat for lunch?,0
"Are you hurt anywhere? If you don't have it, call the insurance, take pictures of the accident area, and get the other person's number.",0
What part?,0
Just try again~,0
Are you hurt? How?,0
Good job~ Now let’s play,0
What did you eat?,0
I need to buy an air purifier first.,0
How big did it get? What about insurance? Who was at fault?,0
"If you work harder next time, you will succeed.",0
This can be happen.,0
Oh thank you. Let's eat together.,0
Why are you hurt there?,0
Let's find it quickly. We'll find it together.,0
Go outside for a while.,0
What did you eat yesterday (a while ago)?,0
Which part? why? So what do you want to do?,0
What's happening all of a sudden? Me too~,0
"What test? I must have prepared hard, but I’m upset…",0
How did you get hurt? Would you like a band?,0
who? What exactly does it say?,0
Don't you have an air purifier? I have no choice but to open the front door.,0
What did you eat??,0
We become two sad people...,0
"Huh, now? Where??",0
"I say, ‘I just like you,’ but I have great faith and inspiration when I hear that I really like you.",0
Oh really?,0
When is the next test?? Let's do our best for the next test.,0
congratulations !! I thought it would go well~,0
Do you remember where you last saw it?,0
What happened??,0
it's fine now?,0
How about an air purifier?,0
Eh?? Did I eat something wrong?? are you okay?? Shall I buy you some medicine? Should I pick your hand?,1
"It becomes half… If you comfort, empathize, and talk, won’t you be able to heal?",1
Did you finally get it? Who put it on?,1
How long have you been hurt? How did that happen? What about insurance??,1
I like you too.,1
Um.. I see.. I can’t help it..,1
"It's okay, I'll do better next time! Shall we go eat something delicious??",1
"Hey, thank you. I'll eat well. Shall we eat together?",1
Why are you hurt? Should I give you a band?,1
congratulations!.!.! I knew it would work!! I'm proud!!! Let’s go eat something delicious!!,1
Where did you lose it?? Let’s find it together quickly.,1
Is your boss bad?,1
Don't you give me money?,1
Is there a lot of truth?,1
Was it very difficult... good job.,1
You can do that part-time job somewhere else.,1
Why do I feel bad... What happened? What did you order chicken?,1
whatever.,1
Let’s come to my house and eat something delicious.,1
ah… okay? Did I eat something wrong?,0
"Why did I divide suffering and sadness into two, but now I understand it is sadness.",0
Who put it on..?,0
ah..? Drawing… why..?,0
Ah haha.,0
oh… … … … this… .,0
Eh… ?really… ? I..?looked having a hard time... ?Thank you~,0
Eh? Are you hurt?,0
Congratulations~,0
How come..?,0
oh… ok,0
It's delicious.,0
Ah haha,0
… .What do you mean? Don't breathe.,0
I need to take medicine...,0
What happened?,0
Why are you sharing?,0
Uh...uhh....,0
Do you really need to say that?,0
oh my...,0
"Oh, thank you.",0
I'm going to ask him how he got hurt.,0
We should congratulate him.,0
Ask where you lost it and then find it.,0
(I’m not curious) Why did you quit?,0
Why is it bad?,0
Either way...,0
It must be hard. Let’s go to a cafe...,0
are you okay? It must be hard... Shall I buy you some medicine?,1
sadness decreases.,1
are you okay? Are you hurt anywhere?,1
I like you too!,1
Why?... What's the point?...,1
Just prepare better for the next test! Thank you for your hard work!,1
really? I’m touched ㅠㅠㅠ Thank you!,1
What is this! How did you get hurt! it's fine now? Doesn’t it hurt?,1
It went so well!! Really congratulations!!,1
"Oh my, I lost it somewhere ㅠ I'm so upset... I'll find it together. Do you remember where I last saw you?",1
You've worked hard so far! Let's rest now!,1
What happened? Why do I feel bad ㅠㅠ.,1
...Why don't you like it?...,1
"Oh my, this must be hard. Are you okay? You're already tired because of the move, but you'll be even more tired.",1
What did you eat?,0
Sadness and sorrow..?,0
Two sad people.,0
How and why?,0
Oh... why...?,0
"That's... it's a shame, but there's nothing I can do about it.",0
What did you see?,0
Oh... I'll eat well.,0
Why are you hurt here?,0
Wow haha you really worked hard. Now you can have some fun hahaha.,0
Where was the last time you saw each other? Think carefully. Where was the last time?,0
Why did you quit?,0
Don't you eat sweets when you're in a bad mood? Why do I feel bad?,0
Oh yeah? Who is he..?,0
They said they had to open the door and that the paint was more toxic than the exhaust fumes.,0
Uh.. ok.. thank you.,0
"Oh yeah? Well, that could be possible, so what should we do?",0
What happened...?,0
Oh really? Good job though.,0
"Oh, thank you.",0
What is this?,0
"Oh well done, congratulations!",0
Guess where she went.,0
"Yes, I feel better when I eat chicken.",0
Oh yeah? Want me to get something else?,0
whatever; I don't care.,0
Then she leaves the door open and goes outside to get some ventilation.,0
What did you eat yesterday?? Did you go to the hospital?,1
"Hey, are you okay? Are you hurt a lot?? Did you go to the hospital?",1
"okay..? Things like that happen, too..",1
thank you.,1
Reactions vary depending on whether the other person speaks calmly or sadly.,1
"Hey, thank you haha. Let’s eat together~",1
How did you get hurt here?,1
Really congratulations. You worked hard.. It's really good. I'll buy you something.,1
Do you remember where you last put it?,1
why???,1
Why do I feel bad??,1
who??,1
"Well then, let's ventilate the room for today and go to a sauna or a room and sleep for a day. That's sick house syndrome.",1
"Did I eat something wrong? If it hurts a lot, go to the hospital.",0
Double the sadness~,0
Are you hurt?,0
I see,0
Let's aim for the next test~,0
Why are you hurt?,0
congratulations.,0
"If you think you can find it, try to find it. If you think you can't, just forget about it.",0
Welcome to the world of Gaebaksu.,0
Are you feeling better?,0
who?…,0
Ventilate the house and sleep somewhere else for a day.,0
What should I do? It hurts a lot?? did you take the medicine??,1
Sad together...,1
Are you hurt?? are you okay?? What about the hospital?,1
I like you too...♡,1
"No, but you worked the hardest.",1
Did I look tired? That's right... But it's okay because you brought me a cake.,1
What is it? Why is it hurt? Where did it come from? Who is it? It hurts?,1
Congratulations~~~~~~~,1
Let's find it together..,1
What happened??,1
Why did I feel bad ㅜㅜ,1
Oh really? .................Why?.....ㅜㅜ,1
"Still, I need to ventilate it..ㅜㅜ",1
What did you eat?,0
Two sorrows,0
Where and how much did you get hurt?,0
Thank you... I like you too...,0
Geuk... Where doesn't it fit?,0
"Hey, are you okay? Did I do something wrong?",0
Do I look tired?,0
Are you hurt? Where did you get hurt?,0
Congratulations~ You worked hard,0
Do you remember where you last saw it?,0
It sounds delicious... What's going on?,0
Geuk... Why do you say you don't like it?,0
"If you don't buy an air purifier, open the door and go out for a moment.",0
"Wow, did you take your medicine? Let's go to the hospital ㅜㅜ",1
double,1
are you okay? Are you hurt a lot?,1
Me too haha,1
Wow... that's right... (upset),1
You can do better next time. Thank you for your hard work.,1
How did you get hurt? Are you okay?,1
I’m touched. Thank you..,1
Congratulations so much! I came back as much as I worked hard haha,1
Let’s find it together ㅜㅜ,1
What happened!! It's hard work ㅜㅜ,1
How do you feel now? Did you enjoy it?,1
(upset) (hurt),1
What do we do…,1
"Oh my, how are you okay?? Does it hurt a lot??",1
There will be more people who share their sadness.,1
Are you hurt a lot?? What about your body?,1
"Hey, I like you too~",1
Thank you for liking me~,1
"(Scar) Oh, that's right...what part of it made you feel that way?",1
"It's okay, there's a next test, so don't be too depressed and solve it with me today.",1
"Thank you so muchㅜㅠThanks to you, all the difficulties are gone!",1
How did you get hurt? Have you been to the hospital? Don’t be sick ㅜㅜ,1
